קוד פנימי,פריט,שם פריט,מחלקה,שם קבוצה,שם ספק,שם יצרן,שם צבע,מידה,שם יובש,שונות,תאריך הקמה,ת. העברה לארכיון,ת. יציאה מארכיוןמחיר מחירון 1,,יתרת מלאי,נמכר באילת לפי ת.ז,אחריות
702,7290101581826,המערה  גפנים בוגרות,1,יין אדום,בנימינה,,אדום,750,,,31/12/2014,02/02/2022,,480,,לא,
3120,7290101582021,בנימינה  רזרב מרסלן 2020,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2020,03/12/2020,30/11/2023,16/07/2021,59,,כן,
2180,7290101582038,בנימינה  רזרב סמיון,1,יין לבן יבש,בנימינה,,לבן,750,יבש,2014,21/11/2016,08/02/2019,,57,,לא,
2734,7290101582236,אבני החושן  כרם רמת סירין 2013,1,יין אדום יבש,,,,,,,19/01/2019,12/07/2022,,,,לא,
2733,7290101582243,בנימינה  אבני החושן  כרם מירב 2016,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2016,19/01/2019,11/11/2024,20/12/2022,140,,כן,
2547,7290101582359,בנימינה  המושבה שרדונה 2024,1,יין לבן יבש,בנימינה,,לבן,750,יבש,2024,29/04/2018,,,39,146,כן,
2577,7290101582366,בנימינה  המושבה קברנה סוביניון 2023,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2023,12/06/2018,,10/11/2022,39,95,כן,
3337,7290101582373,בנימינה  המושבה גרנאש רוזה 2024,1,יין חצי יבש,בנימינה,,לבן,750,יבש,2024,11/02/2022,,25/06/2025,39,33,כן,
532,7290101582380,בנימינה  המושבה גוורצטרמינר 2020,1,יין חצי יבש,בנימינה,,לבן,750,חצי יבש,2020,13/04/2014,16/09/2024,23/05/2022,38,,כן,
2963,7290101582397,בנימינה  המושבה מרלו 2022,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2022,05/03/2020,12/08/2025,,39,,כן,
2578,7290101582403,בנימינה המושבה שירז 2024,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2024,12/06/2018,,19/07/2022,39,134,כן,
2783,7290101582410,בנימינה  גוורצטרמינר,1,יין חצי יבש,בנימינה,,לבן,750,חצי יבש,2019,06/03/2019,06/12/2022,,38,,כן,
2974,7290101582571,בנימינה  רוזה גרנאש,1,יין רוזה,בנימינה,,רוזה,750,חצי יבש,2018,26/03/2020,04/05/2023,04/05/2023,38,,כן,
3497,7290101582731,איה  עילית קברנה סוביניון 2020,1,יין אדום יבש,י.ד. עסקים,,אדום,750,יבש,2020,10/11/2022,16/09/2024,,42,,כן,
1883,7290103680169,תבור  לימיטד אדישן 1/7000,1,יין אדום,,,,,,,17/09/2015,10/02/2019,,,,לא,
2257,7290103680633,תבור  סופה,1,יין אדום יבש,,,אדום,750,יבש,2013,05/05/2017,12/10/2020,,85,,לא,
